perfil,data,texto,reply_ou_original,tem_midia,tipo_midia,quotes,replies,retweets,likes,media_interacoes,link
americanas,Thu Jul 16 20:36:16 +0000 2020,"@bobesponjaglau olá! em alguns casos, os produtos ficam armazenados em depósitos distantes da sua casa, dependendo dos Correios e da transportadora, e isso acaba aumentando o frete 🚛 

Mas, pode deixar que já estamos fazendo o possível para deixar o frete com um preço mais bacana ;)",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283863039142514688
americanas,Thu Jul 16 20:34:51 +0000 2020,"@MonteirOlimpico oi, xxxx! isso ocorre porque nem sempre temos estoque do produto escolhido na loja e, assim, precisamos levar seu produto até uma delas :)",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283862681875775489
americanas,Thu Jul 16 20:34:35 +0000 2020,"@segue500mil oi! isso ocorre porque nem sempre temos estoque do produto escolhido na loja e, assim, precisamos levar seu produto até uma delas :)",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283862617585520641
americanas,Thu Jul 16 20:33:50 +0000 2020,"Menos de 30 minutos pra começar a live com @nilmoretto e @CdNLeon ⏰ #AmericanasAoVivo

Atenta no app 👀 https://t.co/tXsd1TpI9T",original,não,nenhum,0,4,3,48,13.75,https://www.twitter.com/americanascom/status/1283862427587743745
americanas,Thu Jul 16 20:33:39 +0000 2020,"@Aaa82294681 Olá! Você pode falar com a gente por DM e passar o seu número de pedido, por favor? Nós iremos verificar :)",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283862382738055169
americanas,Thu Jul 16 20:32:40 +0000 2020,@ViadinhoFudido Olá! Como foi feita a devolução do seu produto?,reply,não,nenhum,0,1,0,0,0.25,https://www.twitter.com/americanascom/status/1283862133957107727
americanas,Thu Jul 16 20:30:34 +0000 2020,"@hamstertrouxa Olá! Você pode falar com a gente por DM e passar o seu número de pedido, por favor? Nós podemos te ajudar!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283861605437112320
americanas,Thu Jul 16 20:29:44 +0000 2020,@rachelviamonte \o/ :),reply,não,nenhum,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1283861394996236293
americanas,Thu Jul 16 20:28:20 +0000 2020,@elizaschuylrs vocês são tudo 😍,reply,não,nenhum,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1283861042309804032
americanas,Thu Jul 16 20:26:22 +0000 2020,@DiegoQueirozC @BabuSantana somos dois 😍,reply,não,nenhum,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1283860548275314695
