perfil,data,texto,reply_ou_original,tem_midia,tipo_midia,quotes,replies,retweets,likes,media_interacoes,link
Coca-Cola Brasil,Mon Jun 29 15:55:12 +0000 2020,"@MartinsFabe Que tal uma ajudinha para acabar com esse mau humor, Fabe? 😋Vamos garantir aquele almoço TOP na companhia do Spoleto? Corre aqui no link https://t.co/BtlHE7acfu, combine sua massa com seus ingredientes favoritos e ganhe até 30% OFF no Delivery. ❤ https://t.co/SRXPdQMrkE",reply,sim,animated_gif,0,0,0,1,0.25,https://www.twitter.com/CocaCola_Br/status/1277631713825427456
Coca-Cola Brasil,Mon Jun 29 15:55:02 +0000 2020,"@eubrecht Então vamos te ajudar a realizar esse desejo, que tal?! Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas! https://t.co/fYXHa2ql9z",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277631673157517313
Coca-Cola Brasil,Mon Jun 29 15:54:58 +0000 2020,"@HudsonJesus8 Que tal uma ajudinha?😋 Acessando https://t.co/kcCsP58KhJ, você pode aproveitar descontos em pratos deliciosos acompanhados de Coca-Cola geladinha! ✌ https://t.co/1KuKRY52yk",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277631653146476544
Coca-Cola Brasil,Mon Jun 29 15:54:24 +0000 2020,"@xnamjin A gente não pode deixar isso acontecer, pede um Méqui aí no conforto da sua casa, bela! Só acessar o link: https://t.co/1O6cASke6m e aproveitar 40% OFF em 4 McOfertas Média + 20 Chicken McNuggets. + Coca-Cola. Delícia, né? https://t.co/t9RbiqBcs3",reply,sim,animated_gif,0,1,0,0,0.25,https://www.twitter.com/CocaCola_Br/status/1277631511475470336
Coca-Cola Brasil,Mon Jun 29 15:53:05 +0000 2020,"@aftzrtste Opa, alguém falou cupom?😋 Pega esse: 15COCACOLA para ganhar R$ 15,00 de desconto em 2 McOfertas no seu primeiro pedido na Rappi! Aproveita 👉 https://t.co/n2rl6icrCp 😎🍔 https://t.co/EXW8ADHnYn",reply,sim,animated_gif,1,0,0,0,0.25,https://www.twitter.com/CocaCola_Br/status/1277631181845078019
Coca-Cola Brasil,Mon Jun 29 15:52:06 +0000 2020,"@anasmss_ A gente não pode deixar isso acontecer, Naclara! Pede um Méqui no conforto da sua casa!! Só acessar o link: https://t.co/1O6cASke6m e aproveitar 40% OFF em 4 McOfertas Média + 20 Chicken McNuggets. + Coca-Cola. Delícia, né? https://t.co/Nie1YBH1aX",reply,sim,animated_gif,0,1,0,1,0.5,https://www.twitter.com/CocaCola_Br/status/1277630933290684421
Coca-Cola Brasil,Mon Jun 29 15:51:45 +0000 2020,"@suzeix Não precisa ficar na vontade, Suzy! Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas! https://t.co/Eojm2mfvhl",reply,sim,animated_gif,0,0,0,1,0.25,https://www.twitter.com/CocaCola_Br/status/1277630845742874625
Coca-Cola Brasil,Mon Jun 29 15:51:08 +0000 2020,"@Miomigadoteteu Sorte do dia! 🍀 Basta acessar: https://t.co/n2rl6icrCp e usar o cupom 15COCACOLA para ganhar R$ 15,00 de desconto em duas McOfertas no seu primeiro pedido na Rappi! 😉🍔 https://t.co/HN207zSFqq",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277630688607580162
Coca-Cola Brasil,Mon Jun 29 15:50:29 +0000 2020,@calicazevedo1 Que tal uma ajudinha? 😋Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas!❤ https://t.co/Ip6hV99L2M,reply,sim,animated_gif,0,1,0,1,0.5,https://www.twitter.com/CocaCola_Br/status/1277630528884269061
Coca-Cola Brasil,Mon Jun 29 15:49:55 +0000 2020,@pamdielo E tá errada Bhadie? 😆 Que tal ter um almoço top com duas McOfertas e R$ 15 off? É só acessar https://t.co/n2rl6icrCp e aplicar o cupom 15COCACOLA no seu primeiro pedido! 😋🍔 https://t.co/rX3c4H8gTv,reply,sim,animated_gif,0,1,0,0,0.25,https://www.twitter.com/CocaCola_Br/status/1277630385791393794
Coca-Cola Brasil,Mon Jun 29 15:49:34 +0000 2020,"@theus_sanches14 Vamos te dar aquela forcinha com esse cupom👉 15COCACOLA para ganhar R$ 15,00 de desconto em duas McOfertas no seu primeiro pedido na Rappi! Aproveita, vai! https://t.co/n2rl6icrCp https://t.co/FICNzZor7V",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277630295529971712
Coca-Cola Brasil,Mon Jun 29 15:49:26 +0000 2020,"@raaitorres Que tal matar essa fome pedindo um Méqui no conforto da sua casa, Raizinha? Só acessar o link: https://t.co/1O6cASke6m e aproveitar 40% OFF em 4 McOfertas Média + 20 Chicken McNuggets. + Coca-Cola. Delícia, né? https://t.co/mwGqncvBXL",reply,sim,animated_gif,0,1,0,0,0.25,https://www.twitter.com/CocaCola_Br/status/1277630261040164864
Coca-Cola Brasil,Mon Jun 29 15:48:43 +0000 2020,"@ahmarirs Que tal uma ajudinha Mari? 😋Vamos garantir aquele almoço TOP na companhia do Spoleto? Corre aqui no link https://t.co/BtlHE7acfu, combine sua massa com seus ingredientes favoritos e ganhe até 30% OFF no Delivery. ❤ https://t.co/XV2Hq9yx4y",reply,sim,animated_gif,0,1,1,1,0.75,https://www.twitter.com/CocaCola_Br/status/1277630082933297153
Coca-Cola Brasil,Mon Jun 29 15:48:06 +0000 2020,@_biianc Que tal uma ajudinha? Clique aqui em https://t.co/BtlHE7rN72 temos massas com até 30% off. 🍝😋 https://t.co/rQnLtwbXLp,reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277629926720430085
